Sido,Gungu,Dong,ComplexName,Trade Type,Building Name,Floor Info,Price (Numeric),Area,Owner,Desc,RegDate,Tag,Direction,PPA
경기도,화성시,비봉면,만석(주상복합),매매,1동,중/10,220000000,100.81,DOC, 가성비 좋은 올수리되어 있는 아파트 ,25.02.25,"['25년이내', '올수리', '방세개', '화장실두개']",남향,7214291.2409483185
경기도,화성시,비봉면,스타캐슬(주상복합),매매,102동,8/14,230000000,91.68,DOC,급매 가성비 좋은 2억대 아파트 ,25.02.25,"['10년이내', '급매', '화장실두개', '방세개']",남동향,8293308.791448517
경기도,화성시,비봉면,스타캐슬(주상복합),매매,102동,고/14,250000000,91.68,NDOC1,"집상태 양호 비봉시내 마트,행정복지센터인근 위치좋음 방3 화장실2",25.02.21,"['10년이내', '방세개', '화장실두개', '고층']",서향,9014466.077661432
경기도,화성시,비봉면,스타캐슬(주상복합),매매,101동,저/13,250000000,91.68,NDOC1,비봉 중심지 주상복합,25.02.13,"['10년이내', '방세개', '화장실두개', '세대당1대']",남동향,9014466.077661432
경기도,화성시,비봉면,스타캐슬(주상복합),매매,102동,중/14,225000000,91.68,DOC,"비봉시내 아파트,급매,남향,위치좋음,방3,화장실2개,주변인프라 좋음",25.02.20,"['10년이내', '급매', '방세개', '화장실두개']",남향,8113019.469895287
경기도,화성시,비봉면,스타캐슬(주상복합),매매,101동,저/13,240000000,91.68,DOC,6월입주 가능.급매 깨끗하고 살기좋은 단지,25.02.14,"['10년이내', '급매', '방세개', '화장실두개']",남동향,8653887.434554974
경기도,화성시,비봉면,스타캐슬2차(주상복합),매매,201동,10/14,285000000,100.04,NDOC1,빠른 입주가능 전망좋음 농협하나로 마트 도보1분  비봉ic 차량5분거리,25.02.18,"['10년이내', '화장실두개', '방세개', '고층']",북향,9417720.161935227
경기도,화성시,비봉면,스타캐슬2차(주상복합),매매,202동,9/14,260000000,89.87,OWNER,전세가격으로 내집마련 해잘들어요,25.03.01,"['10년이내', '방세개', '화장실두개', '중층']",남향,9563860.02002893
경기도,화성시,비봉면,스타캐슬2차(주상복합),매매,202동,10/14,270000000,89.87,DOC,편의시설 이용 가까운 비봉중심지 인근 아파트,25.02.18,"['10년이내', '방세개', '화장실두개', '고층']",남향,9931700.790030044
경기도,화성시,비봉면,스타캐슬2차(주상복합),매매,201동,저/14,240000000,89.87,DOC,집상태 양호하고 전망좋음,25.02.24,"['10년이내', '방세개', '화장실두개', '세대당1대']",남향,8828178.480026705
경기도,화성시,비봉면,예미지센트럴에듀,월세,107동,23/25,"5,000/95",111.32,NDOC1,당근 시에4 단기가능 중문 고급형 천정 간접조명 추천ss,25.02.28,"['2년이내', '융자금없는', '방세개', '화장실두개']",남동향,
경기도,화성시,비봉면,예미지센트럴에듀,월세,102동,9/22,"5,000/135",111.32,NDOC1,당근 예미지 84타입 전면동 영구 조망 뷰 좋은 매물,25.02.28,"['2년이내', '방세개', '화장실두개', '중층']",남동향,
경기도,화성시,비봉면,예미지센트럴에듀,월세,101동,20/25,"3,000/110",111.32,NDOC1,당근 초품아 방4개 에어컨4개 피트니스센터있는동,25.02.27,"['2년이내', '방세개', '화장실두개', '고층']",남향,
경기도,화성시,비봉면,예미지센트럴에듀,월세,103동,13/25,"3,000/100",111.32,NDOC1,틔여 있는 조망권 풀옶션 전세,25.02.20,"['2년이내', '방세개', '화장실두개', '중층']",남동향,
